"draw_date","prize1","prize2_1","prize2_2","prize3_1","prize3_2","prize3_3","prize3_4","prize3_5","prize3_6","prize4_1","prize4_2","prize4_3","prize4_4","prize5_1","prize5_2","prize5_3","prize5_4","prize5_5","prize5_6","prize6_1","prize6_2","prize6_3","prize7_1","prize7_2","prize7_3","prize7_4","special_prize"
"2005-11-06T00:00:00.000Z","07295","94349 "," 34455","35387 "," 47292 "," 32585 "," 52821 "," 77804 "," 42755","8784 "," 3547 "," 8977 "," 3194","1288 "," 1357 "," 9656 "," 5711 "," 0166 "," 1725","250 "," 987 "," 997","96 "," 51 "," 69 "," 25","84464"
"2005-11-07T00:00:00.000Z","82562","31716 "," 97001","69797 "," 85710 "," 13727 "," 37602 "," 56545 "," 34481","8368 "," 8500 "," 9936 "," 2100","9745 "," 7166 "," 9663 "," 7416 "," 0568 "," 3301","869 "," 794 "," 459","75 "," 71 "," 72 "," 14","24795"
"2005-11-08T00:00:00.000Z","26456","91455 "," 78835","27425 "," 22386 "," 02107 "," 48861 "," 85799 "," 76897","6470 "," 7231 "," 3820 "," 6007","0468 "," 8377 "," 7618 "," 4560 "," 4067 "," 2077","242 "," 316 "," 043","10 "," 83 "," 29 "," 12","84860"
"2005-11-09T00:00:00.000Z","45262","11040 "," 51969","20594 "," 17403 "," 10310 "," 49587 "," 83861 "," 82567","4862 "," 2878 "," 7920 "," 3341","2296 "," 4700 "," 1750 "," 8856 "," 7262 "," 9510","915 "," 692 "," 545","65 "," 68 "," 23 "," 77","43990"
"2005-11-10T00:00:00.000Z","89658","87421 "," 06233","26999 "," 96608 "," 63271 "," 34872 "," 73808 "," 46282","1253 "," 0997 "," 3492 "," 6902","6023 "," 1145 "," 9074 "," 4522 "," 4574 "," 9132","344 "," 529 "," 253","78 "," 62 "," 83 "," 47","72718"
"2005-11-11T00:00:00.000Z","56840","62114 "," 78290","57937 "," 74062 "," 78225 "," 78014 "," 27098 "," 48940","7129 "," 7766 "," 4725 "," 6304","9186 "," 3616 "," 5317 "," 5757 "," 3076 "," 2839","950 "," 652 "," 412","70 "," 94 "," 30 "," 24","77533"
"2005-11-12T00:00:00.000Z","86749","27091 "," 91975","14356 "," 73199 "," 98212 "," 12544 "," 25677 "," 67771","3521 "," 3861 "," 1266 "," 9676","7788 "," 2907 "," 4439 "," 4744 "," 5599 "," 4104","196 "," 024 "," 372","01 "," 78 "," 86 "," 15","85287"
"2005-11-13T00:00:00.000Z","78492","07962 "," 15554","15838 "," 54483 "," 90969 "," 43809 "," 25535 "," 48312","6459 "," 2886 "," 0691 "," 8941","8688 "," 4103 "," 8371 "," 0401 "," 4375 "," 0395","182 "," 704 "," 602","78 "," 34 "," 65 "," 77","28979"
"2005-11-14T00:00:00.000Z","69637","73328 "," 25111","85848 "," 84388 "," 25721 "," 38344 "," 13610 "," 13872","1313 "," 8774 "," 8032 "," 3843","6467 "," 9383 "," 4913 "," 9308 "," 5573 "," 9749","523 "," 128 "," 475","83 "," 43 "," 40 "," 36","83519"
"2005-11-15T00:00:00.000Z","48455","81344 "," 29781","54534 "," 10472 "," 58810 "," 26776 "," 94508 "," 77781","2399 "," 4863 "," 3167 "," 1706","8927 "," 1815 "," 1662 "," 3354 "," 7174 "," 0941","111 "," 194 "," 569","37 "," 20 "," 71 "," 18","57506"
"2005-11-16T00:00:00.000Z","70236","14255 "," 23519","87429 "," 22907 "," 92789 "," 83681 "," 65332 "," 85228","4189 "," 4551 "," 4498 "," 2789","0666 "," 3904 "," 8543 "," 0036 "," 7909 "," 1954","386 "," 328 "," 783","74 "," 93 "," 27 "," 06","13114"
"2005-11-17T00:00:00.000Z","81220","21769 "," 06598","12115 "," 81170 "," 09966 "," 22390 "," 40194 "," 06364","5320 "," 2615 "," 8737 "," 3607","4251 "," 7032 "," 0932 "," 8609 "," 2383 "," 5381","330 "," 169 "," 066","68 "," 53 "," 84 "," 26","74793"
"2005-11-18T00:00:00.000Z","80335","71749 "," 45920","35525 "," 09161 "," 92372 "," 36364 "," 16063 "," 56792","1296 "," 2527 "," 4901 "," 5373","1246 "," 1408 "," 9479 "," 7517 "," 9676 "," 2230","999 "," 311 "," 727","22 "," 06 "," 02 "," 46","94294"
"2005-11-19T00:00:00.000Z","58646","72724 "," 61642","90190 "," 87361 "," 50294 "," 11349 "," 97894 "," 31362","6706 "," 8679 "," 1309 "," 1846","7411 "," 2521 "," 2790 "," 2646 "," 8186 "," 4820","116 "," 789 "," 669","49 "," 41 "," 70 "," 88","10230"
"2005-11-20T00:00:00.000Z","33761","37949 "," 10316","16975 "," 76159 "," 78441 "," 51429 "," 92903 "," 97956","6618 "," 5807 "," 8880 "," 0658","8732 "," 5730 "," 5903 "," 1460 "," 7864 "," 0561","986 "," 785 "," 015","34 "," 72 "," 62 "," 51","22003"
"2005-11-21T00:00:00.000Z","93273","08275 "," 40512","17388 "," 49154 "," 80132 "," 03113 "," 05866 "," 17261","2063 "," 7854 "," 9361 "," 7337","1011 "," 3722 "," 1875 "," 4692 "," 1052 "," 7947","427 "," 706 "," 953","23 "," 25 "," 74 "," 77","74081"
"2005-11-22T00:00:00.000Z","67526","64508 "," 79037","16447 "," 92005 "," 41949 "," 33683 "," 91680 "," 26828","9622 "," 0589 "," 6231 "," 8517","8197 "," 2670 "," 7788 "," 7703 "," 9347 "," 5578","919 "," 838 "," 412","95 "," 65 "," 91 "," 64","34300"
"2005-11-23T00:00:00.000Z","32085","59522 "," 57887","27171 "," 88121 "," 82493 "," 04742 "," 83342 "," 72348","1956 "," 2857 "," 6180 "," 5346","8191 "," 0974 "," 2446 "," 0425 "," 6390 "," 6848","214 "," 851 "," 269","61 "," 08 "," 01 "," 64","95008"
"2005-11-24T00:00:00.000Z","13802","11485 "," 22012","16275 "," 11958 "," 70258 "," 11440 "," 28292 "," 92545","7896 "," 0416 "," 7185 "," 6308","1266 "," 9406 "," 5542 "," 5775 "," 1838 "," 0473","063 "," 185 "," 760","23 "," 18 "," 81 "," 09","74258"
"2005-11-25T00:00:00.000Z","94605","13791 "," 71057","71541 "," 86592 "," 72378 "," 23622 "," 63234 "," 29322","5304 "," 6289 "," 3868 "," 5479","5757 "," 9382 "," 6844 "," 6071 "," 7208 "," 7672","113 "," 032 "," 079","64 "," 76 "," 02 "," 24","03464"
